thread_id,elapsed_time_micros,local_queue_depth,local_schedule_count,mean_poll_time_micros,noop_count,overflow_count,park_count,park_unpark_count,poll_count,steal_count,steal_operations,total_busy_duration_micros
9,4086115,0,31291,42,192,16,1004,2007,31342,34350,4090,1226221
10,4086115,0,32236,29,260,16,1193,2385,31514,35284,4268,1225484
11,4086115,28,32107,22,277,16,1161,2322,31014,32604,3963,1144195
0,4291691,10,35688,50,207,25,1029,2058,35173,36393,4478,1264333
1,4291691,0,34007,49,242,17,1184,2368,31910,33933,4412,1223455
2,4291691,3,33937,61,240,8,1114,2228,34402,35575,4377,1180253
3,4291691,3,32109,23,222,16,1177,2354,33534,37244,4443,1288440
4,4291691,15,31864,26,245,17,1140,2280,32605,35640,4218,1248885
5,4291691,78,32970,50,318,17,1339,2678,36001,38329,4686,1300334
6,4291691,70,34206,49,342,17,1217,2434,33121,36019,4376,1265309
7,4291691,0,34115,32,435,21,1513,3026,33797,36870,4422,1314373
8,4291691,2,32986,203,354,24,1337,2674,32759,36283,4640,1261946
9,4291691,3,33337,68,204,17,1066,2132,34073,37289,4409,1335703
10,4291691,221,35157,26,268,17,1261,2522,34326,38753,4623,1342716
11,4291691,17,35057,27,287,16,1220,2440,33704,35187,4287,1237370
0,4496682,1,38427,28,221,26,1089,2178,38751,39207,4749,1384673
1,4496682,0,37270,48,266,23,1273,2545,35017,36157,4653,1332492
2,4496682,1,37018,186,251,10,1180,2360,37128,37815,4618,1307109
3,4496682,0,35460,27,235,21,1238,2476,36005,39186,4666,1382717
4,4496682,0,33857,26,255,18,1182,2363,34351,37136,4384,1318392
5,4496682,0,35237,24,324,18,1383,2765,38824,41145,4884,1402567
6,4496682,0,37182,47,349,17,1275,2549,36151,38355,4629,1382166
7,4496682,0,36654,26,447,24,1578,3155,37235,40058,4727,1423329
8,4496682,0,36215,48,370,26,1409,2817,36083,38596,4905,1402048
9,4496682,0,37056,26,218,22,1137,2273,37198,39828,4699,1439729
10,4496682,0,36816,26,277,19,1314,2627,36611,40619,4853,1409323
11,4496682,0,38628,26,295,23,1273,2545,37109,37738,4541,1353189
0,4701949,0,40701,96,232,29,1177,2353,41176,41487,5089,1470704
1,4701949,0,41411,36,283,25,1365,2729,37426,38557,4997,1437405
2,4701949,0,40510,35,277,10,1316,2632,40257,40942,5113,1417007
3,4701949,0,37437,31,250,22,1317,2633,38454,41856,5006,1475337
4,4701949,0,36178,48,293,18,1323,2645,37104,40427,4817,1428617
5,4701949,0,37969,28,355,22,1515,3029,41516,44248,5321,1514140
6,4701949,0,40366,26,365,20,1364,2727,39483,41891,5027,1492241
